Ranking,Teams,Wins,Draws,Losses,Goals scored,Goals against,Teams_abbr
1,MŠK Tesla Stropkov ,15,5,5,52,27,TES
2,Stará Ľubovňa Redfox Football Club ,15,5,6,54,32,SLU
3,ŠK Odeva Lipany ,15,3,9,52,32,ODE
4,MFK Snina ,11,8,6,49,39,SNI
5,Slávia TU Košice ,12,5,8,45,38,SLÁ
6,MFK Vranov nad Topľou ,12,4,10,56,45,VRA
7,FTC Fiľakovo ,11,7,8,35,35,FTC
8,MŠK Rimavská Sobota ,10,5,10,41,36,RIM
9,MŠK NOVOHRAD Lučenec ,9,6,10,31,39,LUC
10,MŠK Námestovo ,9,5,12,39,50,NAM
11,TJ Baník Kalinovo ,9,3,14,42,49,KAL
12,MŠK Spišské Podhradie ,7,7,11,39,44,SPP
13,TJ Tatran Oravské Veselé ,8,3,15,33,47,ORA
14,Partizán Bardejov BŠK ,6,6,14,35,55,PAR
15,1.FK Svidník ,5,4,16,34,69,SVI
